episode,mc,ql
0,-0.3325000001,-0.41499999820000005
1,-0.09650000000000002,-0.6364999980999999
2,0.040999999999999995,-0.3115
3,0.4379999999999999,-0.37699999999999995
4,0.2270000016,-0.07450000000000001
5,0.489500005,-0.33399999999999996
6,0.491000018,-0.2415
7,0.834,-0.3205
8,0.6590000016500001,-0.14100000000000001
9,0.84100000225,-0.14
10,0.8135000049999999,-0.4125
11,0.8345000037,-0.06
12,0.6615,-0.23700000000000002
13,0.7320000099999999,0.06250000189999998
14,0.8840000016499999,-0.057999999999999996
15,0.9165000016499999,-0.284
16,0.7955000019,-0.288
17,0.9865,-0.03600000000000001
18,0.8750000291500001,-0.007000000000000006
19,0.9974999999999999,0.24300000000000002
20,0.8775000205,0.3945
21,0.914,0.2205
22,0.9235,0.219
23,0.921,0.321
24,0.9874999999999998,0.2205
25,0.9995,0.545
26,0.9984999999999999,0.44449999999999995
27,1.0,0.296
28,1.0,0.29700000000000004
29,0.9035000099999999,0.246
30,0.9995,0.5485
31,1.0,0.27199999999999996
32,0.924,0.323
33,0.9245000000000001,0.397
34,0.925,0.42349999999999993
35,1.0,0.34800000000000003
36,1.0,0.45899999999999996
37,0.9995,0.6225
38,0.915,0.5974999999999999
39,0.9995,0.47300000000000003
40,0.9245000000000001,0.5965
41,0.999,0.624
42,0.924,0.523
43,0.925,0.6224999999999999
44,0.925,0.5485
45,1.0,0.6990000000000001
46,0.9245000000000001,0.8495000000000001
47,1.0,0.5485
48,1.0,0.5985
49,0.9235,0.6245
50,0.9994999999999999,0.9235
51,1.0,0.85
52,0.9215000000000002,0.8495000000000001
53,0.9994999999999999,0.774
54,0.925,0.85
55,0.9235,0.774
56,1.0,1.0
57,1.0,0.6990000000000001
58,0.999,0.774
59,0.9995,0.9245000000000001
60,0.9904999999999999,0.749
61,1.0,0.9245000000000001
62,1.0,0.85
63,0.9995,1.0
64,0.9995,0.8495000000000001
65,0.9995,0.925
66,1.0,0.925
67,0.9995,1.0
68,0.8855000255000001,0.9995
69,0.9995,1.0
70,0.9995,0.9060000049999999
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,0.9995
76,0.9995,1.0
77,1.0,1.0
78,1.0,0.925
79,1.0,0.8495000000000001
80,1.0,1.0
81,1.0,0.999
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,1.0,1.0
87,1.0,1.0
88,1.0,0.9995
89,1.0,1.0
90,1.0,1.0
91,1.0,1.0
92,1.0,1.0
93,1.0,1.0
94,1.0,1.0
95,1.0,1.0
96,1.0,1.0
97,1.0,1.0
98,1.0,1.0
99,1.0,1.0
