episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
0,1.7723486423492432,53,1.0,1.7723486423492432,53,-1.0,1.0,1.0
1,1.7678766250610352,53,1.0,1.7678766250610352,53,-1.0,1.0,1.0
2,0.390286922454834,12,-1.0,0.390286922454834,12,1.0,0.0,0.0
3,1.7709949016571045,53,1.0,1.7709949016571045,53,-1.0,1.0,1.0
4,1.7576870918273926,53,1.0,1.7576870918273926,53,-1.0,1.0,1.0
5,1.7707407474517822,53,1.0,1.7707407474517822,53,-1.0,1.0,1.0
6,1.7687492370605469,53,-1.0,1.7687492370605469,53,1.0,1.0,1.0
7,1.0903966426849365,33,1.0,1.0903966426849365,33,-1.0,1.0,0.0
8,1.778918743133545,53,1.0,1.778918743133545,53,-1.0,1.0,1.0
9,1.089770793914795,33,-1.0,1.089770793914795,33,1.0,0.0,1.0
10,1.7762653827667236,53,1.0,1.7762653827667236,53,-1.0,1.0,1.0
11,1.0714764595031738,32,-1.0,1.0714764595031738,32,1.0,0.0,1.0
12,1.0941526889801025,33,1.0,1.0941526889801025,33,-1.0,1.0,0.0
13,1.1075677871704102,33,1.0,1.1075677871704102,33,-1.0,1.0,0.0
14,1.7697498798370361,53,1.0,1.7697498798370361,53,-1.0,1.0,1.0
15,1.7682888507843018,53,1.0,1.7682888507843018,53,-1.0,1.0,1.0
16,1.0872883796691895,33,1.0,1.0872883796691895,33,-1.0,1.0,0.0
17,1.1047937870025635,33,1.0,1.1047937870025635,33,-1.0,1.0,0.0
18,1.097909688949585,33,1.0,1.097909688949585,33,-1.0,1.0,0.0
19,1.1054108142852783,33,1.0,1.1054108142852783,33,-1.0,1.0,0.0
20,2.332411289215088,70,1.0,2.332411289215088,70,-1.0,2.0,1.0
21,1.0859720706939697,33,-1.0,1.0869696140289307,33,1.0,0.0,1.0
22,1.7697389125823975,53,-1.0,1.7697389125823975,53,1.0,1.0,1.0
23,4.030318021774292,121,1.0,4.030318021774292,121,-1.0,1.0,1.0
24,1.772465705871582,53,1.0,1.772465705871582,53,-1.0,1.0,1.0
25,0.4083716869354248,12,-1.0,0.4083716869354248,12,1.0,0.0,0.0
26,1.7685980796813965,53,1.0,1.7685980796813965,53,-1.0,1.0,1.0
27,1.7654128074645996,53,1.0,1.7654128074645996,53,-1.0,1.0,1.0
28,1.766036033630371,53,1.0,1.766036033630371,53,-1.0,1.0,1.0
29,1.7687866687774658,53,1.0,1.7687866687774658,53,-1.0,1.0,1.0
30,1.7758252620697021,53,-1.0,1.7758252620697021,53,1.0,1.0,1.0
31,1.0893690586090088,33,-1.0,1.0893690586090088,33,1.0,0.0,1.0
32,1.7679471969604492,53,-1.0,1.7679471969604492,53,1.0,1.0,1.0
33,1.7689275741577148,53,1.0,1.7689275741577148,53,-1.0,1.0,1.0
34,1.7658884525299072,53,-1.0,1.7658884525299072,53,1.0,1.0,1.0
35,0.3932619094848633,12,-1.0,0.3932619094848633,12,1.0,0.0,0.0
36,0.40794873237609863,12,-1.0,0.40794873237609863,12,1.0,0.0,0.0
37,1.103933572769165,33,1.0,1.103933572769165,33,-1.0,1.0,0.0
38,1.089529275894165,33,1.0,1.089529275894165,33,-1.0,1.0,0.0
39,1.7643342018127441,53,1.0,1.7643342018127441,53,-1.0,1.0,1.0
40,1.7686023712158203,53,1.0,1.7686023712158203,53,-1.0,1.0,1.0
41,1.7689526081085205,53,1.0,1.7689526081085205,53,-1.0,1.0,1.0
42,1.767198085784912,53,1.0,1.767198085784912,53,-1.0,1.0,1.0
43,0.39086127281188965,12,1.0,0.39086127281188965,12,-1.0,0.0,0.0
44,1.766963005065918,53,1.0,1.766963005065918,53,-1.0,1.0,1.0
45,1.7657673358917236,53,1.0,1.7657673358917236,53,-1.0,1.0,1.0
46,0.4071023464202881,12,-1.0,0.4071023464202881,12,1.0,0.0,0.0
47,0.3922412395477295,12,-1.0,0.3922412395477295,12,1.0,0.0,0.0
48,1.7654001712799072,53,1.0,1.7654001712799072,53,-1.0,1.0,1.0
49,1.766265869140625,53,1.0,1.766265869140625,53,-1.0,1.0,1.0
50,2.633054733276367,79,-1.0,2.633054733276367,79,1.0,1.0,1.0
51,1.768641471862793,53,1.0,1.768641471862793,53,-1.0,1.0,1.0
52,1.0902504920959473,33,1.0,1.0902504920959473,33,-1.0,1.0,0.0
53,1.7686169147491455,53,-1.0,1.7686169147491455,53,1.0,1.0,1.0
54,1.766608476638794,53,1.0,1.766608476638794,53,-1.0,1.0,1.0
55,0.40962934494018555,12,-1.0,0.40962934494018555,12,1.0,0.0,0.0
56,1.7737247943878174,53,1.0,1.7737247943878174,53,-1.0,1.0,1.0
57,1.0878055095672607,33,-1.0,1.0878055095672607,33,1.0,0.0,1.0
58,2.6360080242156982,79,1.0,2.6360080242156982,79,-1.0,1.0,1.0
59,1.1060819625854492,33,1.0,1.1060819625854492,33,-1.0,1.0,0.0
60,1.80366849899292,54,1.0,1.80366849899292,54,-1.0,2.0,1.0
61,1.0870356559753418,33,1.0,1.0870356559753418,33,-1.0,1.0,0.0
62,1.7728245258331299,53,1.0,1.7728245258331299,53,-1.0,1.0,1.0
63,1.767127275466919,53,1.0,1.767127275466919,53,-1.0,1.0,1.0
64,1.7693452835083008,53,1.0,1.7693452835083008,53,-1.0,1.0,1.0
65,1.7673840522766113,53,1.0,1.7673840522766113,53,-1.0,1.0,1.0
66,1.7547681331634521,53,1.0,1.7547681331634521,53,-1.0,1.0,1.0
67,1.7691965103149414,53,1.0,1.7691965103149414,53,-1.0,1.0,1.0
68,1.7691843509674072,53,1.0,1.7691843509674072,53,-1.0,1.0,1.0
69,1.1037461757659912,33,1.0,1.1037461757659912,33,-1.0,1.0,0.0
70,2.9558157920837402,89,-1.0,2.9558157920837402,89,1.0,0.0,1.0
71,4.042927503585815,121,1.0,4.042927503585815,121,-1.0,1.0,1.0
72,1.0879383087158203,33,1.0,1.0879383087158203,33,-1.0,1.0,0.0
73,1.7660009860992432,53,-1.0,1.7660009860992432,53,1.0,1.0,1.0
74,1.7656495571136475,53,1.0,1.7656495571136475,53,-1.0,1.0,1.0
75,1.1058952808380127,33,1.0,1.1058952808380127,33,-1.0,1.0,0.0
76,1.1057326793670654,33,1.0,1.1057326793670654,33,-1.0,1.0,0.0
77,1.7531640529632568,53,1.0,1.7531640529632568,53,-1.0,1.0,1.0
78,1.106473684310913,33,1.0,1.106473684310913,33,-1.0,1.0,0.0
79,1.7670395374298096,53,1.0,1.7670395374298096,53,-1.0,1.0,1.0
80,0.3905792236328125,12,-1.0,0.3905792236328125,12,1.0,0.0,0.0
81,1.0959601402282715,33,1.0,1.0959601402282715,33,-1.0,1.0,0.0
82,1.1057212352752686,33,1.0,1.1057212352752686,33,-1.0,1.0,0.0
83,1.093552589416504,33,1.0,1.093552589416504,33,-1.0,1.0,0.0
84,1.1027274131774902,33,1.0,1.1027274131774902,33,-1.0,1.0,0.0
85,1.1027617454528809,33,1.0,1.1027617454528809,33,-1.0,1.0,0.0
86,1.0863945484161377,33,1.0,1.0863945484161377,33,-1.0,1.0,0.0
87,1.1083791255950928,33,1.0,1.1083791255950928,33,-1.0,1.0,0.0
88,0.3915128707885742,12,-1.0,0.3915128707885742,12,1.0,0.0,0.0
89,1.7697668075561523,53,-1.0,1.7697668075561523,53,1.0,1.0,1.0
90,1.7754569053649902,53,1.0,1.7764544486999512,53,-1.0,1.0,1.0
91,5.356085538864136,161,1.0,5.356085538864136,161,-1.0,1.0,1.0
92,2.6351375579833984,79,1.0,2.6351375579833984,79,-1.0,1.0,1.0
93,1.7661652565002441,53,1.0,1.7661652565002441,53,-1.0,1.0,1.0
94,1.7706758975982666,53,-1.0,1.7706758975982666,53,1.0,1.0,1.0
95,1.7742443084716797,53,1.0,1.7742443084716797,53,-1.0,1.0,1.0
96,1.07120680809021,32,1.0,1.07120680809021,32,-1.0,1.0,0.0
97,1.7738993167877197,53,-1.0,1.7738993167877197,53,1.0,1.0,1.0
98,1.0886826515197754,33,1.0,1.0886826515197754,33,-1.0,1.0,0.0
99,1.7713086605072021,53,1.0,1.7713086605072021,53,-1.0,1.0,1.0
100,0.39028120040893555,12,-1.0,0.39028120040893555,12,1.0,0.0,0.0
101,1.7668557167053223,53,-1.0,1.7668557167053223,53,1.0,1.0,1.0
102,1.7715628147125244,53,1.0,1.7715628147125244,53,-1.0,1.0,1.0
