episode,agent0_time,agent0_actions,agent0_reward,agent1_time,agent1_actions,agent1_reward,bounces_1,bounces_2
0,1.611375331878662,26,-1.0,1.611375331878662,26,1.0,0.0,1.0
1,2.706925630569458,43,1.0,2.706925630569458,43,-1.0,1.0,1.0
2,1.6175248622894287,26,1.0,1.6175248622894287,26,-1.0,1.0,0.0
3,1.6318614482879639,26,-1.0,1.6318614482879639,26,1.0,0.0,1.0
4,1.6176745891571045,26,-1.0,1.6176745891571045,26,1.0,0.0,1.0
5,4.429731130599976,71,1.0,4.429731130599976,71,-1.0,1.0,0.0
6,1.6181790828704834,26,-1.0,1.6181790828704834,26,1.0,0.0,1.0
7,1.6346430778503418,26,1.0,1.6346430778503418,26,-1.0,1.0,0.0
8,1.6230323314666748,26,1.0,1.6230323314666748,26,-1.0,1.0,0.0
9,2.708686113357544,43,1.0,2.708686113357544,43,-1.0,1.0,1.0
10,1.618119478225708,26,1.0,1.618119478225708,26,-1.0,1.0,0.0
11,5.763475179672241,92,-1.0,5.763475179672241,92,1.0,1.0,1.0
12,1.6209616661071777,26,1.0,1.6219580173492432,26,-1.0,1.0,0.0
13,1.623203992843628,26,-1.0,1.623203992843628,26,1.0,0.0,1.0
14,1.6356496810913086,26,1.0,1.6356496810913086,26,-1.0,1.0,0.0
15,2.623943328857422,42,1.0,2.623943328857422,42,-1.0,1.0,1.0
16,1.6345019340515137,26,1.0,1.6345019340515137,26,-1.0,1.0,0.0
17,4.43218207359314,71,1.0,4.43218207359314,71,-1.0,1.0,0.0
18,1.618380069732666,26,-1.0,1.618380069732666,26,1.0,0.0,1.0
19,1.6346821784973145,26,1.0,1.6346821784973145,26,-1.0,1.0,0.0
20,1.6269726753234863,26,-1.0,1.6269726753234863,26,1.0,0.0,1.0
21,1.618635892868042,26,-1.0,1.618635892868042,26,1.0,0.0,1.0
22,4.414454698562622,71,1.0,4.414454698562622,71,-1.0,1.0,0.0
23,8.62152624130249,139,1.0,8.62152624130249,139,-1.0,2.0,1.0
24,2.623922348022461,42,1.0,2.623922348022461,42,-1.0,1.0,1.0
25,2.6932058334350586,43,1.0,2.6932058334350586,43,-1.0,1.0,1.0
26,1.620337724685669,26,-1.0,1.620337724685669,26,1.0,0.0,1.0
27,1.6187880039215088,26,-1.0,1.6187880039215088,26,1.0,0.0,1.0
28,1.617220401763916,26,1.0,1.617220401763916,26,-1.0,1.0,0.0
29,4.426905393600464,71,1.0,4.427798509597778,71,-1.0,1.0,0.0
